ticker,name,group,asset_type
2330.TW,台積電,半導體,stock
2317.TW,鴻海,AI伺服器,stock
2454.TW,聯發科,半導體,stock
2308.TW,台達電,AI伺服器,stock
2382.TW,廣達,AI伺服器,stock
2303.TW,聯電,半導體,stock
3711.TW,日月光投控,封測,stock
2881.TW,富邦金,金融,stock
2882.TW,國泰金,金融,stock
2886.TW,兆豐金,金融,stock
2891.TW,中信金,金融,stock
2892.TW,第一金,金融,stock
0056.TW,元大高股息,ETF,etf
00878.TW,國泰永續高股息,ETF,etf
00403A.TW,主動統一升級50,ETF,etf
2408.TW,南亞科,記憶體,stock
2344.TW,華邦電,記憶體,stock
2337.TW,旺宏,記憶體,stock
6239.TW,力成,封測,stock
8150.TW,南茂,封測,stock
2329.TW,華泰,封測,stock
6488.TW,環球晶,半導體,stock
2338.TW,光罩,半導體,stock
8028.TW,昇陽半導體,半導體,stock
3035.TW,智原,IC設計,stock
2401.TW,凌陽,IC設計,stock
4966.TW,譜瑞-KY,IC設計,stock
2356.TW,英業達,AI伺服器,stock
2324.TW,仁寶,AI伺服器,stock
2353.TW,宏碁,電腦品牌,stock
2376.TW,技嘉,AI伺服器,stock
3013.TW,晟銘電,AI伺服器,stock
6230.TW,超眾,散熱,stock
6275.TW,元山,散熱,stock
2421.TW,建準,散熱,stock
3324.TW,雙鴻,散熱,stock
3017.TW,奇鋐,散熱,stock
3231.TW,緯創,AI伺服器,stock
6669.TW,緯穎,AI伺服器,stock
2345.TW,智邦,網通,stock
6285.TW,啟碁,網通,stock
3062.TW,建漢,網通,stock
2383.TW,台光電,PCB,stock
3037.TW,欣興,PCB,stock
2313.TW,華通,PCB,stock
2368.TW,金像電,PCB,stock
5469.TW,瀚宇博,PCB,stock
6269.TW,台郡,PCB,stock
6191.TW,精成科,PCB,stock
6213.TW,聯茂,PCB,stock
5439.TW,高技,PCB,stock
8046.TW,南電,PCB,stock
4958.TW,臻鼎-KY,PCB,stock
3189.TW,景碩,PCB,stock
6274.TW,台燿,PCB,stock
8039.TW,台虹,PCB材料,stock
3081.TW,聯亞,CPO,stock
3163.TW,波若威,CPO,stock
3363.TWO,上詮,CPO,stock
4903.TW,聯光通,CPO,stock
4908.TW,前鼎,CPO,stock
4979.TWO,華星光,CPO,stock
6426.TWO,統新,CPO,stock
3260.TWO,威剛,記憶體,stock
2451.TW,創見,記憶體,stock
4967.TWO,十銓,記憶體,stock
8299.TWO,群聯,記憶體,stock
1303.TW,南亞,塑化,stock
1409.TW,新纖,紡織,stock
1714.TW,和桐,化工,stock
1718.TW,中纖,紡織,stock
1802.TW,台玻,玻璃,stock
2002.TW,中鋼,鋼鐵,stock
2027.TW,大成鋼,鋼鐵,stock
2603.TW,長榮,航運,stock
2605.TW,新興,航運,stock
2606.TW,裕民,航運,stock
2607.TW,榮運,航運,stock
2609.TW,陽明,航運,stock
2610.TW,華航,航空,stock
2618.TW,長榮航,航空,stock
2707.TW,晶華,觀光,stock
2731.TW,雄獅,觀光,stock
2748.TW,雲品,觀光,stock
5706.TWO,鳳凰,觀光,stock
5530.TW,龍巖,殯葬,stock
3211.TW,順達,電池,stock
4931.TW,新盛力,電池,stock
3673.TW,TPK-KY,面板,stock
3481.TW,群創,面板,stock
2409.TW,友達,面板,stock
6116.TW,彩晶,面板,stock
