ticker,name,asset_type
2330.TW,台積電,stock
2317.TW,鴻海,stock
3481.TW,群創,stock
3105.TW,穩懋,stock
2344.TW,華邦電,stock
2409.TW,友達,stock
2338.TW,光罩,stock
2408.TW,南亞科,stock
6239.TW,力成,stock
2327.TW,國巨,stock
3035.TW,智原,stock
8358.TW,金居,stock
4958.TW,臻鼎-KY,stock
6274.TW,台燿,stock
6488.TW,環球晶,stock
6116.TW,彩晶,stock
2374.TW,佳能,stock
2312.TW,金寶,stock
3189.TW,景碩,stock
1802.TW,台玻,stock
2609.TW,陽明,stock
3163.TW,波若威,stock
5289.TW,宜鼎,stock
4960.TW,誠美材,stock
8046.TW,南電,stock
6669.TW,緯穎,stock
00403A.TW,主動統一升級50,etf
3037.TW,欣興,stock
2383.TW,台光電,stock
2308.TW,台達電,stock
2303.TW,聯電,stock
3711.TW,日月光投控,stock
6285.TW,啟碁,stock
9105.TW,泰金寶-DR,stock
2454.TW,聯發科,stock
2313.TW,華通,stock
00878.TW,國泰永續高股息,etf
0056.TW,元大高股息,etf
2376.TW,技嘉,stock
2027.TW,大成鋼,stock
2618.TW,長榮航,stock
3673.TW,TPK-KY,stock
4966.TW,譜瑞-KY,stock
7769.TW,鴻勁,stock
1303.TW,南亞,stock
3211.TW,順達,stock
1409.TW,新纖,stock
3324.TW,雙鴻,stock
4908.TW,前鼎,stock
4931.TW,新盛力,stock
2485.TW,兆赫,stock
2002.TW,中鋼,stock
5439.TW,高技,stock
6213.TW,聯茂,stock
2603.TW,長榮,stock
2707.TW,晶華,stock
2748.TW,雲品,stock
3017.TW,奇鋐,stock
2382.TW,廣達,stock
3231.TW,緯創,stock
3081.TW,聯亞,stock
2345.TW,智邦,stock
2337.TW,旺宏,stock
2329.TW,華泰,stock
2331.TW,精英,stock
2498.TW,宏達電,stock
8215.TW,明基材,stock
2401.TW,凌陽,stock
3062.TW,建漢,stock
8028.TW,昇陽半導體,stock
8150.TW,南茂,stock
2356.TW,英業達,stock
2324.TW,仁寶,stock
2353.TW,宏碁,stock
3013.TW,晟銘電,stock
6230.TW,超眾,stock
6275.TW,元山,stock
2421.TW,建準,stock
2368.TW,金像電,stock
5469.TW,瀚宇博,stock
6269.TW,台郡,stock
6191.TW,精成科,stock
6214.TW,精誠,stock
8039.TW,台虹,stock
3363.TWO,上詮,stock
4903.TW,聯光通,stock
4979.TWO,華星光,stock
6426.TWO,統新,stock
3260.TWO,威剛,stock
2451.TW,創見,stock
4967.TWO,十銓,stock
8299.TWO,群聯,stock
2605.TW,新興,stock
2606.TW,裕民,stock
2607.TW,榮運,stock
2610.TW,華航,stock
2731.TW,雄獅,stock
5706.TWO,鳳凰,stock
2881.TW,富邦金,stock
2882.TW,國泰金,stock
2886.TW,兆豐金,stock
2891.TW,中信金,stock
2892.TW,第一金,stock
1714.TW,和桐,stock
5530.TW,龍巖,stock
1718.TW,中纖,stock
